,url,title,article,date,publisher,trust,avg_score
23623,https://www.dlmplus.nl/2018/09/15/is-duitse-buffer-bestand-tegen-opkomend-fascisme/,Is Duitse buffer bestand tegen opkomend fascisme?,"De gebeurtenissen in Chemnitz en Koethen staan nog helder op het netvlies van vriend en vijand in Duitsland.[0] 
De Duitsers hebben aan het einde van WOII plechtig beloofd en zich voorgenomen dat een herhaling van deze vreselijke oorlog nooit meer zal plaatsvinden.[1] 
Zij bouwden een buffer, maar is deze bestand tegen het fascisme dat met name in het oosten van Die Heimat de gruwelijke kop opsteekt?[0] 
De aanleiding voor de dagenlange protesten in Chemnitz, door met name aanhangers van de AfD, tegenstanders van het vluchtelingenbeleid en neo-nazi’s vormt de dodelijke steekpartij van een 35 jarige Duitser door vermoedelijk drie asielzoekers uit Syrië en Irak van eind augustus.[1] 
Ondertussen is een rechtse actievoerder die de Hiltergroet herhaaldelijk brengt in Chemnitz veroordeeld tot gevangenisstraf.[1]
Extreem-rechtse demonstranten blijken stenen en flessen te hebben gegooid naar het koosjere restaurant Schalom in #Chemnitz.[1]
Ze schreeuwden: “verlaat Duitsland, Joodse zwijnen”.[1] 
Over rechts geweld tegen allochtonen in Chemnitz is dit korte filmpje wereldwijd gegaan.[0] 
Aanvankelijk is de echtheid ervan ontkend, maar een aantal grote Duitse kranten kunnen na onderzoek de authenticiteit bevestigen.[0] 
Voor de goede orde, dertig jaar na de Wende loopt er nog steeds een idealistische scheidslijn door Duitsland, die oost scheidt van west. [0]",15-9-2018,dlmplus,untrusted,1
4599,www.volkskrant.nl/nieuws-achtergrond/militairen-gaan-helpen-met-schoonmaken-van-waddenstranden~ba7f2213/,Militairen gaan helpen met schoonmaken van Waddenstranden,"Zo'n honderd militairen gaan vanaf vrijdag helpen met het schoonmaken van de stranden van de Waddeneilanden.[1]
Die liggen bezaaid met spullen en verpakkingsmateriaal uit de containers die overboord sloegen van een containerschip.[1]
De burgemeesters van Terschelling en Schiermonnikoog hadden gevraagd om assistentie van het leger, omdat de eilanden de troep niet alleen kunnen opruimen.[1]
Defensie heeft een deel van de militairen voor de actie teruggeroepen van kerstverlof.[1] 
Ze behoren tot een in Havelte gelegerde brigade en zullen naar verwachting twee dagen helpen.[1]
Het enorme vrachtschip MSC Zoe verloor dinsdagnacht door ruige zee 270 containers boven het Duitse Waddeneiland Borkum.[1]
Sinds woensdag spoelen er hele containers en vooral veel losse spullen en piepschuim aan op de Noordzeekustlijn van de eilanden en langs de waddendijk aan het vaste land in Friesland en Groningen.[1]
Op veel plekken begonnen vrijwilligers met collectieve schoonmaakacties, soms met honderden mensen tegelijk.[1]
Op Ameland werd volgens de gemeente langs circa 8 kilometer strand zo'n 130 ton afval opgeruimd.[2] 
Rederij Doeksen, dat de veerdienst naar Vlieland en Terschelling verzorgt, biedt tegen fors gereduceerd tarief 'opruimdagretourtjes' aan voor mensen die willen 'milieujutten' op de eilanden.[1] ",2019-01-03,vk,trusted,1.1
11818,https://speld.nl/2021/02/10/turkse-regering-erkent-toeslagenaffaire/,Turkse regering erkent toeslagenaffaire,"De Turkse regering is overgegaan tot erkenning van de toeslagenaffaire.[5]
Vanmorgen werd een motie van de Democratische Volkspartij over erkenning van de misstanden bij de Nederlandse belastingdienst met een overweldigende meerderheid aangenomen.[5] 
‘‘We hebben te lang de bagatelliserende term toeslagenkwestie gebruikt’’, bekent de Turkse president Recep Tayyip Erdogan.[5] 
‘‘Nu is de tijd gekomen om de waarheid recht te doen.[5] 
De politiek, de rechters en de Belastingdienst hebben collectief gefaald in Nederland. [0]
Een woord als ‘kwestie’ dekt de lading niet.[0] 
Er is sprake van een heuse affaire.[0]
’’ Opvallend is dat ook leden van de Turkse oppositie massaal voor erkenning van de toeslagenaffaire hebben gestemd.[5]
‘’Er zijn ook mensen met Turkse afkomst benadeeld door de logaritmes van de Belastingdienst.[3] 
In Turkije hebben we ook een Turkse gemeenschap.[1] ",10-2-2021,speld,untrusted,3.8
7746,www.trouw.nl/home/natuurrampen-veroorzaakten-minder-doden-maar-veel-financiele-schade~a05e91e2/,"Natuurrampen veroorzaakten minder doden, maar veel financiële schade","Het aantal mensen dat dit jaar omkwam door natuurgeweld is opvallend laag.[0] 
Maar orkanen, overstromingen en bosbranden veroorzaakten wel veel financiële schade.[1]
Zo'n 10.000 mensen vonden vorig jaar wereldwijd de dood door natuurgeweld.[1] 
Dat aantal is opvallend laag.[0] 
Tussen 2007 en 2016 vielen er jaarlijks gemiddeld 60.000 doden door natuurrampen.[1] 
De financiële schade die stormen, aardbevingen, overstromingen en droogtes veroorzaakten, was wel extreem hoog: 330 miljard dollar (300 miljard euro).[1] 
De VS en het Caribisch gebied werden het zwaarst getroffen. [1]
Vooral orkanen hielden daar huis.[1]
Volgens Munich Re, een van de grootste (her)verzekeraars ter wereld, vielen de meeste slachtoffers van natuurgeweld in Zuid-Azië.[1] 
Moessonregens kostten 2700 mensen het leven, vooral in Nepal maar ook in het noorden van India en Bangladesh.[1]",2018-01-06,trouw,trusted,1
19911,https://www.ninefornews.nl/laten-eens-kijken-terecht-gekomen/,Laten we eens kijken wat er terecht is gekomen van de huiveringwekkende klimaatvoorspellingen die in 2008 zijn gedaan,"Radiopresentator Rush Limbaugh besteedde deze week aandacht aan het programma ‘Earth 2100’ dat in de herfst van 2008 werd uitgezonden door zender ABC.[0] 
Limbaugh speelde een trailer af, waarin de vermeende gevaren van global warming of klimaatverandering – tegenwoordig vaak ‘extreem weer’ genoemd – en de catastrofale gevolgen daarvan voor de Verenigde Staten in het jaar 2015 worden aangekaart.[0] 
“Rome viel. De Mayabeschaving verdween. Paaseiland viel uiteen. Zijn wij hierna aan de beurt?” klonk het in de trailer.[1] 
In het programma wordt onder meer gesteld dat er meer overstromingen komen, meer droogtes en meer bosbranden.[1] 
Tegen 2015 zullen er meer zware orkanen zijn, zullen de temperaturen gevaarlijk hoog oplopen en zullen oogsten teruglopen, zo is te horen.[1] 
Terwijl beelden van hongerige mensen voorbij komen vertelt Heidi Cullen (ex-Weather Channel, ex-hoofdwetenschapper Climate Central) dat ongeveer een miljard mensen ondervoed zullen zijn en dat dat er alleen maar meer worden.[1] 
Limbaugh merkte op dat in het programma wordt voorspeld dat prijzen tegen 2015 naar astronomische hoogten zullen zijn gestegen.[0] 
Er worden beelden getoond van Manhattan dat half onderwater staat en Miami, waar nog maar weinig van over is.[1] 
“Dit zou allemaal gaan gebeuren in 2015,” aldus Limbaugh.[0]
Het laat volgens hem mooi zien hoezeer de klimaatalarmisten ernaast zitten.[0]",2019-06-22,ninefornews,untrusted,1
24399,https://www.dlmplus.nl/2018/10/21/de-nieuwe-mens-staat-op/,De Nieuwe Mens staat op,"Wanneer we mensen verbieden bepaalde dingen te doen, zoals in vele religies gebeurd, maar ook door bijvoorbeeld de overheid, of door ouders bij hun kinderen, dan werkt dit enkel averechts.[0] 
Je kunt mensen, volgelingen, kinderen niets verbieden.[0] 
Wanneer we dingen gaan verbieden dan zorgt dit enkel voor stiekem gedrag, voor leugens en manipulatie, voor schijnheiligheid en bedrog.[0] 
Regelmatig zie ik bijvoorbeeld dat men zegt iets niet te doen, maar het vervolgens stiekem wel doet, in het geniep.[0] 
Wie hou je dan voor de gek?[0] 
De enige die je voor de gek houdt ben je uiteindelijk altijd zelf.[0] 
Verbieden werkt averechts wanneer je er niet werkelijk van doordrongen bent dat het niet goed voor je is om iets te doen, dat je er last van krijgt, dat je door iets toch te doen daar de nadelige gevolgen van zult ondervinden.[0] 
Dat je ziek wordt van iets bijvoorbeeld, of dat je niet kunt groeien geestelijk, dat je jezelf er mee schaadt of anderen, dat je door iets toch te doen zult lijden en niet werkelijk gelukkig kunt zijn, je beperkt blijft in het bewustzijn, dat je een gevangene blijft, of wat dan ook.[0] 
Vaak willen we iets uit onszelf best opgeven, of niet meer doen, omdat we geleerd hebben dat het ons niets gaat brengen, dat het ons problemen gaat opleveren, dat we er niet gelukkig van gaan worden maar juist ongelukkiger.[0] 
Wanneer we ons aansluiten bij een bepaalde religie komen daar regels bij kijken.[0]",21-10-2018,dlmplus,untrusted,0
8699,www.ed.nl/show/imago-expert-nederland-zal-kwetsbare-dotan-zijn-gesjoemel-ooit-vergeven~aefa8c1b/,Imago-expert: Nederland zal kwetsbare Dotan zijn gesjoemel ooit vergeven,"Imagodeskundige Bart Maussen verwacht dat Nederland Dotan (31) - die zijn artiestenloopbaan de afgelopen jaren een flinke boost gaf met hulp van tientallen nepaccounts op sociale media - zijn misstap zal vergeven.,,[0]
De excuses die hij vandaag maakte en emoties en kwetsbaarheid die hij toonde in een Facebook-filmpje komen honderd procent echt op mij over.[0] 
Dit is een meesterzet.[0]
''Maussen, die veel Nederlandse artiesten adviseert, heeft het sorryfilmpje van Dotan grondig geanalyseerd.[0] 
,,Nadat afgelopen weekend duidelijk werd dat hij zich heeft bediend van een trollenleger van niet bestaande accounts, had Dotan feitelijk drie mogelijkheden: de waarheid vertellen, de halve waarheid verkondigen of helemaal niet reageren.[0] 
Het siert de zanger dat hij voor de eerste optie heeft gekozen.[0] 
En als hij mijn cliënt was geweest, had ik hem ook nadrukkelijk geadviseerd die stap te zetten'', aldus Maussen.[0] 
De imagodeskundige noemt de manier van praten en de mimiek van Dotan 'het bewijs dat hij een eerlijk verhaal vertelt'.[0]
,,In het facebookexcuus zie je dat de zanger niet makkelijk praat, zijn woorden langzaam en moeilijk kiest.[0]
En je ziet aan zijn ogen en gezicht dat hij enorm geschrokken is van alle ophef rond zijn persoon.[0] ",2018-04-16,eindhovensdagblad,trusted,0
22923,https://www.dlmplus.nl/2019/11/17/galerij-der-moedigen-gabor-lenkei-en-zijn-strijd-tegen-de-farmaceutische-industrie/,Galerij der moedigen – Gábor Lenkei en zijn strijd tegen de farmaceutische industrie,"De arts Gabor Lenkei vecht tegen de geneesmiddelenindustrie en ontmaskert deze.[3] 
Op zijn website doet hij verslag van zijn strijd en komt hij met een oplossing.[0] 
Wij geven het onverkort hieronder weer.[0] 
Een van zijn meest opvallende uitspraken is dat de farmaceutische industrie niet wil dat mensen gezond worden.[0] 
Een logische redenering.[0] 
Een bedrijfstak kan geen winst meer maken wanneer iedereen gezond is en gaat failliet.[0] 
De macht van Big Pharma valt echter niet te onderschatten en hun wereldwijde verziekende invloed evenmin.[0]   
‘Mijn naam is Gábor Lenkei.[1]
Ik ben geboren in 1961 in Hongarije.[1] 
In 1986 ben ik summa cum laude afgestudeerd van de universiteit.[1]",17-11-2019,dlmplus,untrusted,1.5
17754,https://www.ninefornews.nl/namen-op-vluchtmanifesten-epstein-binnenkort-onthuld-paniek-onder-rijken-en-machtigen/,Namen op vluchtmanifesten Epstein binnenkort onthuld: ‘Paniek onder rijken en machtigen’,"De Amerikaanse Maagdeneilanden, waar Jeffrey Epstein een huis had, willen de logboeken van zijn vier helikopters en drie vliegtuigen inzien.[1] 
Zijn rijke en machtige vrienden zijn nu in paniek, schrijft de Daily Mirror.[1] 
De minister van Justitie van de Amerikaanse Maangdeneilanden, Denise George, wil naast de passagierslijsten ook eventuele notities ontvangen die de piloten hebben gemaakt of meldingen van verdacht gedrag.[1] 
George wil de namen en contactgegevens van eenieder die voor de piloten heeft gewerkt of die contact heeft gehad met Jeffrey Epstein of zijn passagiers.[1] 
Piloot David Rodgers overhandigde in 2009 logboeken waaruit bleek dat prins Andrew, Bill Clinton, Kevin Spacey en Naomi Campbell meevlogen met Epsteins ‘Lolita Express’.[1] 
Hoofdpiloot Larry Visoski, die meer dan 25 jaar voor de pedofiel werkte, heeft zijn logboeken nog niet overhandigd.[3] 
Volgens een ingewijde zijn de vluchtgegevens die Rodgers heeft verstrekt een post-it in vergelijking met het materiaal dat George via een dagvaarding boven water wil halen.[1] 
“Er heerst paniek onder de rijken en machtigen.”[0] 
In juli zijn op verzoek van de rechtbank in New York zo’n 80 documenten openbaar gemaakt over de omgang die Ghislaine Maxwell had met Epstein.[1] 
Maxwell, vertrouwelinge en ex-vriendin van Epstein, wordt verdacht van medeplichtigheid aan kindermisbruik.[1]",2020-09-21,ninefornews,untrusted,1.11
14196,https://niburu.co/13456,De laatste fase van de Endgame wordt smerig,"De schietpartij in de Joodse synagoge in Pittsburgh toont aan dat er paniek uitbreekt bij de machthebbers en dat het spel steeds smeriger gespeeld gaat worden.[5] 
Aan de lopende band worden ze ontmaskerd en daarom wordt het nu tijd voor drastische maatregelen.[0] 
Misschien omdat de tijd dringt en er met de dag meer waarheid boven tafel komt, moet er grote haast worden gemaakt met damage control en worden er in grote haast een aantal verhalen (scripts) in elkaar gedraaid.[0]
Afgelopen zaterdag werd de wereld opgeschrikt door het volgende soort berichten:  Robert Bowers geobsedeerd door Joodse / Zionistische complottheorieën – ‘Er is geen groots Amerika zolang er een Jodenplaag is’De terroristische schutter die vanmiddag een synagoge in Pittsburgh aanviel en zeker 8 Joden doodschoot is een neonazi die Hitler bewondert en Trump haat, omdat die volgens hem ‘door Joden wordt gecontroleerd’.[0] 
Dit bleek uit zijn social media berichten voordat deze werden gewist en/of geblokkeerd.[0] 
Uit eerdere berichten bleek dat Bowers geobsedeerd is door de beruchte racistische Joodse / Zionistische complottheorieën, en ervan overtuigd is dat Trump geen nationalist, maar een ‘door Joden gecontroleerde globalist’ is.[1]
Verder is Bowers een openlijke bewonderaar van Adolf Hitler.[1]
De woorden die blijven hangen zijn Neonazi, antisemitisme, Jodenhaat, complot, racistisch en Zionistisch.[0]
Een lezer vindt er het volgende van (dank!):Nou dit is duidelijk, wederom slachtofferrol en blanke complotters draaien door en schieten joden dood, wat een completen BS en propaganda/leugens!![0]
Bovenstaande is exact hetzelfde wat de Joodse onderzoeker Henry Makow stelt in een artikel.[0]",29-10-2018,niburu,untrusted,2.33
11667,https://speld.nl/2017/12/31/russische-oppositieleider-twijfelt-huidige-baan-hem-wel-gelukkig-maakt/,Russische oppositieleider twijfelt of huidige baan hem wel gelukkig maakt,"Aleksej Navalny zit al een tijdje niet zo lekker in zijn vel.[0] 
De 41-jarige inwoner van Moskou werkt al een paar jaar als Russisch oppositieleider, maar twijfelt of die baan wel voldoende perspectieven biedt.[3] 
“Ik weet niet of dit het is voor mij”, zucht Navalny.[5] 
“Ik heb ooit voor deze carrière gekozen omdat ik het een uitdaging vond om een totalitair regime ten val te brengen.[5] 
Maar net als veel leeftijdsgenoten ben ik er nu niet meer zo zeker van of ik de juiste keuze heb gemaakt.[5] 
Ik weet niet of er echt toekomst zit in dit vak, ik betwijfel of ik op deze manier gelukkig word.”[5]
“Ik voel me soms zo’n speelbal van grotere krachten, alsof niets van wat ik doe echt zin heeft, alsof alles al bepaald is.[5] 
Maar mijn loopbaancoach zegt dat dat erbij hoort”, peinst Navalny.[5] 
“Toch blijft het knagen.[5]
Als ik straks geliquideerd word, wil ik niet het gevoel hebben dat ik niets bereikt heb.”[5]",31-12-2017,speld,untrusted,4.78
19795,https://www.ninefornews.nl/bereidde-deze-olympische-openingsceremonie-ons-voor-op-het-coronavirus/,Bereidde deze olympische openingsceremonie ons voor op het coronavirus?,"Op 27 juli 2012 vond de openingsceremonie van de Olympische Zomerspelen in Londen plaats.[1] 
Er keken naar schatting 900 miljoen mensen naar de ceremonie, die een slordige 27 miljoen pond kostte.[1] 
Tijdens de openingsceremonie verschenen op een gegeven moment 320 bedden op het middenterrein van het Olympisch Stadion in een eerbetoon aan het Britse gezondheidsinstituut NHS. 
In de bedden lagen kinderen die boeken lazen.[1] 
De personages uit de boeken kwamen vervolgens tot leven.[1] 
Zo verrees de Hartenkoningin uit Alice in Wonderland, evenals Gruella de Vil uit 101 Dalmatiërs en Voldemort uit de Harry Potterreeks.[1] 
Hierna vielen er tientallen Mary Poppins, de bekende kinderjuffrouw, aan een paraplu uit de lucht, die de slechteriken verdreven.[1] 
Sommigen zien dit deel van de openingsceremonie als een soort voorbereiding op de coronacrisis.[0] 
Zo twittert de Britse politicus Nick Griffin: “Beschuldig mij er niet van een complotdenker te zijn – het was niet MIJN besluit om een gigantische afbeelding van het coronavirus, een soort vrouwelijke Magere Hein, een Nightingale Hospital & een pop van Boris Johnson in de openingsceremonie van de Olympische Spelen in Londen te stoppen.”[1]
De afbeelding van het coronavirus is overigens een overlay.[0] ",2020-04-22,ninefornews,untrusted,1
21415,https://niburu.co/15071,"Alarm, kabinet komt met wet om burgerrechten weg te halen","Op dit moment laat het land zich braaf op- en uitsluiten, omdat men nog steeds doodsbang is voor het virus.[0] 
Wat men niet beseft, is dat er geen enkele wettelijke grondslag is voor de genomen maatregelen, maar dat gaat nu snel anders worden.[5]
Wij hebben een grondwet in ons land en die is belangrijk, want daarin zijn een aantal heel belangrijke regels vastgelegd om de rechten van burgers te beschermen.[1]
Nu is die bescherming ook maar beperkt, want je kunt in ons land de grondwet omzeilen door wetten aan te nemen die zeggen dat je op bepaalde punten de grondwet mag negeren.[3] 
Zoals bijvoorbeeld het recht op onaantastbaarheid van het eigen lichaam dat vastligt in artikel 11 van de grondwet: Ieder heeft, behoudens bij of krachtens de wet te stellen beperkingen, recht op onaantastbaarheid van zijn lichaam.[1] 
En dit betekent dat wanneer de overheid een wet er doorheen jaagt die vaccinaties tegen het coronavirus verplicht maakt, je de grondwet als bescherming kunt vergeten.[3] 
Eigenlijk is het geen bescherming wat er in de grondwet staat, maar carte blanche voor een overheid om over jouw lichaam te kunnen beschikken.[4] 
Het enige wat ze daarvoor nodig hebben is een goedgekeurde wet in de Tweede en Eerste Kamer en jouw lichaam is van hen.[4] 
Het enige dat ervoor nodig is om dit soort wetten er doorheen te jagen is de juiste crisis.[0] 
En die hebben we toevalligerwijze net voor handen.[0] ",27-4-2020,niburu,untrusted,3
3312,https://nu.nl/artikel/6122544,"VVD en D66 zijn nu aan zet in de formatie, wat zijn de opties?","Nederland kan zich gaan opmaken voor het kabinet-Rutte IV.[0]
Nu de VVD opnieuw de grootste partij is geworden, moet het gek lopen als de partij niet het voortouw neemt in de komende formatieperiode.[0]
Welke coalities zijn er mogelijk?[0] 
Om samen een stabiele coalitie te vormen, hebben partijen in totaal 76 zetels in de Tweede Kamer en 38 zetels in de Eerste Kamer nodig.[1] 
VVD-lijsttrekker Mark Rutte liet woensdagavond in een reactie op de uitslag weten dat het ""zeer voor de hand"" ligt dat zijn partij en D66, de andere grote winnaar van de verkiezingen, over de formatie gaan praten.[1] 
Hij vindt dat de twee grootste partijen het voortouw moeten nemen.[1] 
Daarnaast ziet Rutte ook graag dat het CDA aanschuift aan tafel.[1] 
De VVD (35), D66 (24) en het CDA (15) krijgen volgens de prognose samen 74 zetels in de Tweede Kamer - net geen meerderheid.[1] 
In de Eerste Kamer komen deze drie partijen zelfs tien zetels tekort voor een meerderheid.[1] 
Sigrid Kaag, de lijsttrekker van D66, wilde tijdens de campagne nog niet vooruitlopen op de formatie, maar zei woensdagavond in een reactie op de exitpolls dat ze wil gaan samenwerken.[1]",18-3-2021,nu,trusted,1
17264,https://www.martinvrijland.nl/nieuws-analyses/winst-oekraine-eurovisie-songfestival-natuurlijk-doorgestoken-kaart-douwe-bob-11e/,"Winst Oekraïne Eurovisie Songfestival natuurlijk doorgestoken kaart, Douwe Bob 11e","Het was al duidelijk dat dat hele Eurovisie Songfestival doorgestoken kaart is, maar toen ik vanochtend de uitslag in de krant las en het liedje ‘1944’ van de winnares uit Oekraïne erbij hoorde, wist ik genoeg.[0] 
Het liedje is niet alleen bar slecht gezongen, maar is ook een duidelijk bewijs dat je het Eurovisie Songfestival wint, omdat het propaganda-technisch goed ligt.[0] 
Het liedje zou gaan over hoe de Russen de Tataarse bevolking in 1944 op het schiereiland De Krim gedeporteerd zouden hebben.[1]
Daarmee is het lied eigenlijk een anti-Rusland en een pro-Turkije propaganda lied.[4] 
Ja, de Tataren zijn een Turks etnische bevolkingsgroep op de Krim.[2]
En wie nam in 2014 het schiereiland zonder slag of stoot over van Oekraïne dat middels een Westerse coupe haar regering afzette via samenwerking met neonazi’s?[5] 
Juist ja, Rusland.[1] 
Wist u dat de Russen ruim een half miljoen doden te betreuren hadden bij deze Westers / Ottomaanse oorlog met Rusland (1852-1856)?[1] 
Ach, laat maar.[0] 
Wij zijn goed en zij zijn slecht.[0] 
Niemand heeft zoveel oorlogen gestart sinds mensen heugenis als de westerse alliantie de laatste decennia, maar dat terzijde.[0]",15-5-2016,martinvrijland,untrusted,2.33
6426,www.trouw.nl/cultuur/franse-componist-en-oscarwinnaar-michel-legrand-overleden-op-86-jarige-leeftijd~abed64d5/,Franse componist en Oscarwinnaar Michel Legrand overleden op 86-jarige leeftijd,"De Franse componist, pianist en drievoudig Oscarwinnaar Michel Legrand is in de nacht van vrijdag op zaterdag overleden, melden Franse media.[1]
Legrand was beroemd om zijn filmmuziek.[1] 
Hij is 86 jaar geworden.[1]
De liefde voor muziek ontstond bij Legrand al op jonge leeftijd: geboren in Parijs in 1932 als zoon van een orkestleider, studeerde hij later bij Nadia Boulanger aan het conservatorium, waarvoor hij zich op zijn tiende al had ingeschreven.[1] 
Toen hij afstudeerde kon hij twaalf instrumenten bespelen.[0] 
Zijn album 'I love Paris', dat acht miljoen keer over de toonbank ging, maakte van Legrand in één klap een internationale superster.[1] 
Hij woonde enige tijd in Amerika, waar hij samen met chansonnier Maurice Chevalier een zeer succesvolle tournee maakte.[1] 
Ook arrangeerde hij voor Dizzy Gillespie.[1]
Zijn passie voor jazz bracht hem samen met onder meer Miles Davis, terwijl hij in het klassieke veld onder andere werkte met de Amerikaanse operazangeres Jessye Norman.[1]
Legrand ontwikkelde zich tot een van de huiscomponisten van de 'nouvelle vague', de vernieuwende stroming die Frankrijk begin jaren zestig tijdelijk tot het middelpunt van de internationale filmindustrie maakte.[1]",2019-01-26,trouw,trusted,1
18498,https://www.ninefornews.nl/rutte-geen-uitzondering-avondklok-voor-ziekenbezoek-schrijnende-situatie/,Rutte: geen uitzondering avondklok voor ziekenbezoek. ‘Schrijnende situatie’,"De VVD van premie Rutte wil dat de avondklok wordt verlengd.[1] 
VVD-fractievoorzitter Klaas Dijkhoff zei dat er ‘extra tikken nodig’ zijn nu er een ‘derde golf op komst is’ door de Britse variant.[1] 
Kamerlid Wybren van Haga (FVD) vroeg premier Rutte of er een ontheffing van de avondklok is voor ziekenbezoek.[1] 
“Die schijnt er niet te zijn en ik krijg daar heel veel mails over.[1] 
Dat is een schrijnende situatie,” zei hij donderdag tijdens het coronadebat.[1]
Op de vraag of iemand die met kanker in het ziekenhuis ligt na 21.00 uur bezoek mag ontvangen, antwoordde Rutte:
 “Als iemand op dat moment niet heel ernstig ziek is en tot overlijden dreigt te komen, denk ik van niet, want dan heb je te veel uitzonderingen op de avondklok.[1] 
Maar niet omdat iemand in het ziekenhuis ligt en ernstig ziek is.[4]
Maar in de laatste fase mag het natuurlijk wel.[1] 
Dat was zelfs in de eerste lockdown in de verpleeghuizen zo.[1]
” Van Haga benadrukte dat het niet om de laatste fase gaat.[1] ",2021-05-02,ninefornews,untrusted,1.3
11845,https://speld.nl/2020/07/07/tijmen-moet-altijd-eerst-een-boek-schrijven-voor-hij-kan-stofzuigen/,Tijmen moet altijd eerst een boek schrijven voor hij kan stofzuigen,"Tijmen Hazekamp uit Dordrecht vindt het soms doodvermoeiend.[0]
Elke keer als hij wil beginnen met stofzuigen, moet hij van zichzelf eerst een boek schrijven.[0]
Het leidt soms tot kwalijk uitstelgedrag, zegt hij.[0] 
“Ik vind het gewoon lastig om meteen met die stofzuiger aan de slag te gaan”, legt Tijmen uit.[0] 
“Het liefst zou ik elke ochtend direct beginnen.[0] 
Maar het stofzuigt toch net wat lekkerder als je weet dat dat boek af is.[0] 
Pas als dat boek er ligt, vind ik iets van interne rust en kan ik beginnen.”[0] 
“Het is dan gewoon uit mijn systeem”, vervolgt Tijmen.[0] 
“Een boek schrijven is toch een klusje dat anders blijft liggen.[0]
”Soms maakt Tijmen zich zorgen, zegt hij.[0] ",7-7-2020,speld,untrusted,0
22431,https://nieuwspaal.nl/moet-europa-gaan-betalen-voor-britse-coronavariant/,Moet Europa gaan betalen voor Britse coronavariant?,"Nu de Brexit een feit is, gaan er vanuit Groot-Brittannië geluiden op dat de EU moet gaan betalen voor de Britse coronavariant.[5]
Op het Europese vasteland zijn inmiddels duizenden mensen besmet met de Britse virusmutatie.[1] 
De Britten krijgen daar vooralsnog geen vergoeding voor, terwijl zij de mutatie wel hebben ontdekt.[3] 
“China had de primeur en mag daar trots op zijn.[5] 
Maar dat was vorig jaar”, zegt de Britse premier Boris Johnson.[5] 
“Feit van vandaag is dat Groot-Brittannië de beste coronamutatie ter wereld heeft.[5] 
Wij hebben een variant ontdekt die veel besmettelijker is, maar dat is natuurlijk niet gratis.[5]
” Binnen de Europese Unie wordt momenteel hard gezocht naar een onderscheidende mutatie van het coronavirus.[5] 
Hiermee wordt de verplichte afdracht niet alleen voorkomen, maar wordt ook tegemoetgekomen aan gevoelens onder de burgers.[5] 
De EU lijkt namelijk steeds verder achter te lopen, nu ook Zuid-Afrika en Brazilië hun eigen varianten hebben.[3]",2021-01-19,nieuwspaal,untrusted,4.2
8849,www.ed.nl/show/actrice-margot-robbie-in-beeld-voor-barbie-film~a1e4e6f8/,Actrice Margot Robbie in beeld voor Barbie-film,"Margot Robbie gaat mogelijk de hoofdrol spelen in een liveaction-film over Barbie.[1] 
Momenteel zijn gesprekken met de actrice bezig, meldt The Hollywood Reporter.[1]
Over de komst van een Barbie-film wordt al lange tijd gesproken.[0] 
Sony kondigde het project in 2014 aan en meldde later dat Amy Schumer (Trainwreck) voor de hoofdrol had getekend.[1] 
Dat ging niet door omdat Schumer de opnames niet kon combineren met een andere film waarin ze speelde.[1] 
Daarna werd Anne Hathaway (Interstellar) enige tijd gekoppeld aan de film.[1]
Eerder dit jaar gingen de rechten terug naar Barbie-maker Mattel, die vervolgens een nieuwe filmstudio vond in Warner Bros.[1] 
Bronnen melden The Hollywood Reporter dat Patty Jenkins, bekend van Wonder Woman, in beeld is als regisseur.[1]
Margot Robbie (28) is een Australische actrice die doorbrak tegenover Leonardo DiCaprio in The Wolf of Wall Street en in de gekraakte maar succesvolle Marvel-film Suicide Squad.[1]
Begin dit jaar ontving ze een Oscarnominatie voor haar hoofdrol in I, Tonya over het leven van kunstschaatsster Tonya Harding.[1]",2018-10-06,eindhovensdagblad,trusted,1
15935,https://niburu.co/12578,Je kunt in drie maanden tijd van je diabetes type 2 af komen,"Er zullen vandaag heel wat mensen vol zitten van de goede voornemens aan het begin van dit nieuwe jaar.[0] 
En is er heel goed nieuws voor mensen die lijden aan diabetes type 2, want uit nieuw onderzoek is nu definitief gebleken dat deze ziekte teruggedraaid kan worden.[4] 
Net na de feestdagen en bij het begin van het nieuwe jaar zal ""afvallen"" bij veel mensen hoog op de lijst staan van goede voornemens.[0] 
Velen zullen dit doen om er beter uit te willen zien, niet omdat ze bepaalde klachten hebben.[0] 
Anderen zullen dit willen omdat ze bang zijn door (over)gewicht een grotere kans te lopen om ziek te worden en een derde categorie zal dit misschien willen omdat ze al ziek zijn en graag beter willen worden.[0]
Eén van de meest voorkomende en ook stijgende ziekte is diabetes.[1]
Diabetes is een van de meest voorkomende chronische ziekten in Nederland.[1] 
Het kan iedereen overkomen.[1] 
Diabetes zorgt voor veel andere problemen in het lichaam, complicaties.[2]
 Al ruim 1,2 miljoen Nederlanders hebben diabetes en elke week komen daar 1.200 bij![1]
Ook in België stijgt het aantal diabetesgevallen schrikbarend.[2]",31-12-2017,niburu,untrusted,1.71
